area,auv_count,method,regular_latency,priority_latency,regular_std,priority_std,transmitted_data,priority_objects,regular_objects,travelled_distance,w1,w2,w3,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility,area,auv_count,w1,w2,w3
15000,3,owa,236.571428571429,160.142857142857,162.03025087249,82.6669472995355,840,14,14,1133.75786969711,0.4,0.4,0.2,0.460790033310123,0.697502596544236,0.374716701770924,0.172453732388083,0.895922382552456,0.933333333333333,0.933333333333333,0.96551724137931,0.275579163182352,0.282316496541602,0.408230879887173,0.966126539611127,15000,3,0.4,0.4,0.2
15000,3,owa,163.2,127.357142857143,128.488576479445,67.4840233432581,870,14,15,1190.45643278414,0.6,0.2,0.2,0.074166776445791,0.345375790765744,0.195217262412603,0,1,0.933333333333333,1,1,0.386870611962564,0.43305831884159,0.367879441171442,1.1878083719756,15000,3,0.6,0.2,0.2
15000,3,owa,243,162.642857142857,162.435312568514,83.0843937422455,840,14,14,1145.94615470952,0.6,0.4,0,0.494664734554077,0.724353224435842,0.376884403552585,0.177195256308296,0.918295571497572,0.933333333333333,0.933333333333333,0.96551724137931,0.269483562208487,0.275269923467452,0.399198867490071,0.94395235316601,15000,3,0.6,0.4,0
15000,3,owa,236.071428571429,160.357142857143,162.345530978131,82.0924498944351,840,14,14,1139.29099520425,0.8,0.2,0,0.458155334324482,0.699804078934945,0.376403934242989,0.165928360724354,0.906079157053717,0.933333333333333,0.933333333333333,0.96551724137931,0.276400196578945,0.282503107360721,0.404105556350157,0.963008860289822,15000,3,0.8,0.2,0
15000,3,owa,240.071428571429,160.642857142857,159.822239853058,81.7751204809282,840,14,14,1149.23520124374,1,0,0,0.479232926209609,0.702872722122557,0.362900453856737,0.162324006127482,0.924333045964618,0.933333333333333,0.933333333333333,0.96551724137931,0.276504428575457,0.281013282506224,0.396795975518788,0.954313686600469,15000,3,1,0,0
15000,3,owa,238.857142857143,158.928571428571,159.546403735888,82.2608087690649,840,14,14,1147.38929259233,0.5367,0.3089,0.1544,0.472834371530196,0.684460862996884,0.361424307263499,0.167840648264895,0.92094463955704,0.933333333333333,0.933333333333333,0.96551724137931,0.27902026692113,0.28256232541377,0.398142761986113,1.0979725354321,15000,3,0.5367,0.3089,0.1544
15000,4,owa,278,167.8,151.325256759516,122.294842783449,750,15,10,895.297536406215,0.4,0.4,0.2,0.67909366354894,0.779742233972241,0.317428552732916,0.622563243742137,0.458197297587374,1,0.666666666666667,0.862068965517241,0.197450521806903,0.179750496242073,0.632422688426977,1.00962370647595,15000,4,0.4,0.4,0.2
15000,4,owa,276.8,168.066666666667,150.442901682554,122.190990237571,750,15,10,890.214534186649,0.6,0.2,0.2,0.672770385983402,0.782606300947345,0.312706598790676,0.621383644923995,0.448866783167087,1,0.666666666666667,0.862068965517241,0.197183730588676,0.181204255314721,0.63835113214581,1.01673911804921,15000,4,0.6,0.2,0.2
15000,4,owa,286.7,168.642857142857,156.569508880596,128.874182616438,720,14,10,898.967664259775,0.6,0.4,0,0.724937425899091,0.788794731375696,0.345493350708023,0.697294021167873,0.464934296585745,0.933333333333333,0.666666666666667,0.827586206896552,0.17220887614388,0.170214114003691,0.628176377166505,0.970599367314075,15000,4,0.6,0.4,0
15000,4,owa,294.9,172.857142857143,159.413822069062,131.663824330613,720,14,10,880.43310171931,0.8,0.2,0,0.768146489263602,0.834057218392975,0.360714791853341,0.728979889253657,0.430911686406305,0.933333333333333,0.666666666666667,0.827586206896552,0.161663855462725,0.162914205772141,0.649916304684848,0.974494365919714,15000,4,0.8,0.2,0
15000,4,owa,254.8,151.133333333333,146.592253850225,115.819358526646,750,15,10,878.72043891528,1,0,0,0.556843630615202,0.6007380480282,0.292099722730467,0.549012099553981,0.427767870153662,1,0.666666666666667,0.862068965517241,0.2405347225744,0.199769706826936,0.651962737244839,1.09226716664618,15000,4,1,0,0
15000,4,owa,285.3,171.066666666667,154.595565553766,125.667058228517,750,15,10,930.01941853457,0.9024,0.1224,0.0338,0.717560268739297,0.814827054417272,0.334929724207477,0.660866217635269,0.521933846954018,1,0.666666666666667,0.862068965517241,0.186078806581691,0.172498160376222,0.593371947186422,1.00209919489141,15000,4,0.9024,0.1224,0.0338
15000,5,owa,338.9,113.153846153846,278.872113262613,108.785604251241,690,13,10,694.886466061463,0.4,0.4,0.2,1,0.192828816920026,1,0.46911990085844,0.090316604039977,0.866666666666667,0.666666666666667,0.793103448275862,0.294928395740593,0.079468614681412,0.913641876766248,1.28803888718825,15000,5,0.4,0.4,0.2
15000,5,owa,149.125,163.076923076923,96.1790554865544,133.928128448596,630,13,8,723.756543271314,0.6,0.2,0.2,0,0.729015201586252,0.02231173491269,0.754698762478094,0.143311401225865,0.866666666666667,0.533333333333333,0.724137931034483,0.160218155269408,0.2636918920842,0.866484202636435,1.29039424999004,15000,5,0.6,0.2,0.2
15000,5,owa,174.090909090909,143.769230769231,158.618696593721,132.386526156147,720,13,11,700.22791706648,0.6,0.4,0,0.131555310714842,0.521645736946464,0.356459650163906,0.737188626093539,0.100121534959685,0.866666666666667,0.733333333333333,0.827586206896552,0.191684666673703,0.278931622572629,0.904727455339128,1.37534374458546,15000,5,0.6,0.4,0
15000,5,owa,217.857142857143,134.090909090909,92.0098338429623,106.386516575602,540,11,7,645.684516616886,0.8,0.2,0,0.362177014133278,0.417698131346512,0,0.441870101993503,0,0.733333333333333,0.466666666666667,0.620689655172414,0.218115012116713,0.191535248123796,1,1.40965026024051,15000,5,0.8,0.2,0
15000,5,owa,181.222222222222,188.307692307692,99.5926425216464,155.524587882101,660,13,9,701.263280368613,1,0,0,0.169133037661558,1,0.040579664886003,1,0.102022079520457,0.866666666666667,0.6,0.758620689655172,0.103309199085835,0.268657877865786,0.903009613429531,1.27497669038115,15000,5,1,0,0
