index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,15000,3,owa,0.4,0.4,0.2,,,0,15000_r0.pickle,results_0.bag,params_0.yaml,2026-08-08T20:21:58,1340.0,completed,
1,15000,3,owa,0.4,0.4,0.2,,,1,15000_r1.pickle,results_1.bag,params_1.yaml,2026-08-08T20:44:24,1337.4,completed,
2,15000,3,owa,0.4,0.4,0.2,,,2,15000_r2.pickle,results_2.bag,params_2.yaml,2026-08-08T21:06:48,1338.7,completed,
3,15000,3,owa,0.4,0.4,0.2,,,3,15000_r3.pickle,results_3.bag,params_3.yaml,2026-08-08T21:29:13,1337.4,completed,
4,15000,3,owa,0.4,0.4,0.2,,,4,15000_r4.pickle,results_4.bag,params_4.yaml,2026-08-08T21:51:37,1336.9,completed,
5,15000,3,owa,0.4,0.4,0.2,,,5,15000_r5.pickle,results_5.bag,params_5.yaml,2026-08-08T22:14:01,1337.3,completed,
6,15000,3,owa,0.4,0.4,0.2,,,6,15000_r6.pickle,results_6.bag,params_6.yaml,2026-08-08T22:36:25,1337.4,completed,
7,15000,3,owa,0.4,0.4,0.2,,,7,15000_r7.pickle,results_7.bag,params_7.yaml,2026-08-08T22:58:48,1341.7,completed,
8,15000,3,owa,0.6,0.2,0.2,,,0,15000_r0.pickle,results_8.bag,params_8.yaml,2026-08-08T23:21:16,1289.5,completed,
9,15000,3,owa,0.6,0.2,0.2,,,1,15000_r1.pickle,results_9.bag,params_9.yaml,2026-08-08T23:42:52,1336.9,completed,
10,15000,3,owa,0.6,0.2,0.2,,,2,15000_r2.pickle,results_10.bag,params_10.yaml,2026-08-09T00:05:15,1337.8,completed,
11,15000,3,owa,0.6,0.2,0.2,,,3,15000_r3.pickle,results_11.bag,params_11.yaml,2026-08-09T00:27:39,1337.3,completed,
12,15000,3,owa,0.6,0.2,0.2,,,4,15000_r4.pickle,results_12.bag,params_12.yaml,2026-08-09T00:50:03,1335.8,completed,
13,15000,3,owa,0.6,0.2,0.2,,,5,15000_r5.pickle,results_13.bag,params_13.yaml,2026-08-09T01:12:26,1336.9,completed,
14,15000,3,owa,0.6,0.2,0.2,,,6,15000_r6.pickle,results_14.bag,params_14.yaml,2026-08-09T01:34:49,1338.8,completed,
15,15000,3,owa,0.6,0.2,0.2,,,7,15000_r7.pickle,results_15.bag,params_15.yaml,2026-08-09T01:57:14,1337.2,completed,
16,15000,3,owa,0.6,0.4,0.0,,,0,15000_r0.pickle,results_16.bag,params_16.yaml,2026-08-09T02:19:38,1338.8,completed,
17,15000,3,owa,0.6,0.4,0.0,,,1,15000_r1.pickle,results_17.bag,params_17.yaml,2026-08-09T02:42:03,1203.8,completed,
18,15000,3,owa,0.6,0.4,0.0,,,2,15000_r2.pickle,results_18.bag,params_18.yaml,2026-08-09T03:02:13,1338.3,completed,
19,15000,3,owa,0.6,0.4,0.0,,,3,15000_r3.pickle,results_19.bag,params_19.yaml,2026-08-09T03:24:39,1228.0,completed,
20,15000,3,owa,0.6,0.4,0.0,,,4,15000_r4.pickle,results_20.bag,params_20.yaml,2026-08-09T03:45:14,1351.7,completed,
21,15000,3,owa,0.6,0.4,0.0,,,5,15000_r5.pickle,results_21.bag,params_21.yaml,2026-08-09T04:07:52,1335.9,completed,
