area,auv_count,w1,w2,w3,n,utility_mean,utility_sd,utility_sem,utility_ci_low,utility_ci_high,priority_latency_mean,priority_latency_sd,priority_latency_sem,priority_latency_ci_low,priority_latency_ci_high,regular_latency_mean,regular_latency_sd,regular_latency_sem,regular_latency_ci_low,regular_latency_ci_high,priority_objects_mean,priority_objects_sd,priority_objects_sem,priority_objects_ci_low,priority_objects_ci_high,regular_objects_mean,regular_objects_sd,regular_objects_sem,regular_objects_ci_low,regular_objects_ci_high,travelled_distance_mean,travelled_distance_sd,travelled_distance_sem,travelled_distance_ci_low,travelled_distance_ci_high
10000,3,4.0,4.0,2.0,1,1.2983334063850447,0.0,,,,85.33333333333333,0.0,,,,104.0,0.0,,,,9.0,0.0,,,,10.0,0.0,,,,571.725895832591,0.0,,,
10000,3,6.0,2.0,2.0,1,1.4559067498550449,0.0,,,,83.0,0.0,,,,108.7,0.0,,,,9.0,0.0,,,,10.0,0.0,,,,566.3958509962729,0.0,,,
10000,3,6.0,4.0,0.0,1,0.7532960361187024,0.0,,,,87.66666666666667,0.0,,,,105.4,0.0,,,,9.0,0.0,,,,10.0,0.0,,,,586.9351821174633,0.0,,,
10000,3,8.0,2.0,0.0,1,1.3089714205728789,0.0,,,,83.11111111111111,0.0,,,,108.6,0.0,,,,9.0,0.0,,,,10.0,0.0,,,,568.2550102034941,0.0,,,
10000,3,10.0,0.0,0.0,1,0.8436158382361627,0.0,,,,87.44444444444444,0.0,,,,105.7,0.0,,,,9.0,0.0,,,,10.0,0.0,,,,580.5139638165587,0.0,,,
10000,4,4.0,4.0,2.0,1,0.6517113776850818,0.0,,,,56.0,0.0,,,,91.71428571428571,0.0,,,,9.0,0.0,,,,7.0,0.0,,,,643.1291582703122,0.0,,,
10000,4,6.0,2.0,2.0,1,0.8039520204146866,0.0,,,,49.75,0.0,,,,81.125,0.0,,,,8.0,0.0,,,,8.0,0.0,,,,621.9326493139915,0.0,,,
10000,4,6.0,4.0,0.0,1,1.3650860118825212,0.0,,,,52.875,0.0,,,,88.25,0.0,,,,8.0,0.0,,,,8.0,0.0,,,,564.9510902589939,0.0,,,
10000,4,8.0,2.0,0.0,1,1.040449433318116,0.0,,,,57.375,0.0,,,,60.22222222222222,0.0,,,,8.0,0.0,,,,9.0,0.0,,,,600.1105025796702,0.0,,,
10000,4,10.0,0.0,0.0,1,0.9986375422143815,0.0,,,,53.111111111111114,0.0,,,,91.0,0.0,,,,9.0,0.0,,,,7.0,0.0,,,,610.9874424897496,0.0,,,
10000,5,4.0,4.0,2.0,1,0.9976922976447917,0.0,,,,54.4,0.0,,,,179.25,0.0,,,,10.0,0.0,,,,8.0,0.0,,,,435.2851974144189,0.0,,,
10000,5,6.0,2.0,2.0,1,0.5673037597565367,0.0,,,,57.8,0.0,,,,183.375,0.0,,,,10.0,0.0,,,,8.0,0.0,,,,445.4515509405071,0.0,,,
10000,5,6.0,4.0,0.0,1,1.6889569098905206,0.0,,,,54.3,0.0,,,,177.875,0.0,,,,10.0,0.0,,,,8.0,0.0,,,,374.5721142219704,0.0,,,
10000,5,8.0,2.0,0.0,1,0.9523400172900035,0.0,,,,55.6,0.0,,,,180.375,0.0,,,,10.0,0.0,,,,8.0,0.0,,,,423.3373761992413,0.0,,,
10000,5,10.0,0.0,0.0,1,1.2335386518311313,0.0,,,,57.4,0.0,,,,182.625,0.0,,,,10.0,0.0,,,,8.0,0.0,,,,370.95702883846377,0.0,,,
10000,6,4.0,4.0,2.0,1,1.1902871679060985,0.0,,,,83.88888888888889,0.0,,,,65.0,0.0,,,,9.0,0.0,,,,5.0,0.0,,,,327.23092820287985,0.0,,,
10000,6,6.0,2.0,2.0,1,1.0943491076966145,0.0,,,,85.75,0.0,,,,96.0,0.0,,,,8.0,0.0,,,,6.0,0.0,,,,324.14598557812633,0.0,,,
10000,6,6.0,4.0,0.0,1,0.6731638718411614,0.0,,,,92.125,0.0,,,,90.16666666666667,0.0,,,,8.0,0.0,,,,6.0,0.0,,,,335.78440639616787,0.0,,,
10000,6,8.0,2.0,0.0,1,0.9234232456902041,0.0,,,,86.125,0.0,,,,96.33333333333333,0.0,,,,8.0,0.0,,,,6.0,0.0,,,,328.32661691045803,0.0,,,
10000,6,10.0,0.0,0.0,1,1.5496678841758822,0.0,,,,83.0,0.0,,,,127.4,0.0,,,,9.0,0.0,,,,5.0,0.0,,,,319.09215403817257,0.0,,,
20000,3,4.0,4.0,2.0,1,1.3493356416223372,0.0,,,,98.0,0.0,,,,127.5,0.0,,,,19.0,0.0,,,,20.0,0.0,,,,1647.9921529562503,0.0,,,
20000,3,6.0,2.0,2.0,1,1.2387229635050687,0.0,,,,100.73684210526316,0.0,,,,125.4,0.0,,,,19.0,0.0,,,,20.0,0.0,,,,1642.356714826924,0.0,,,
20000,3,6.0,4.0,0.0,1,0.6765297127967344,0.0,,,,98.94736842105263,0.0,,,,127.8,0.0,,,,19.0,0.0,,,,20.0,0.0,,,,1698.6316366178457,0.0,,,
20000,3,8.0,2.0,0.0,1,1.5613154299174732,0.0,,,,98.05263157894737,0.0,,,,122.85,0.0,,,,19.0,0.0,,,,20.0,0.0,,,,1645.9792288610279,0.0,,,
20000,3,10.0,0.0,0.0,1,1.40752968047252,0.0,,,,97.57894736842105,0.0,,,,126.85,0.0,,,,19.0,0.0,,,,20.0,0.0,,,,1649.4557364665013,0.0,,,
20000,4,4.0,4.0,2.0,1,1.408839637238614,0.0,,,,187.78947368421052,0.0,,,,228.72222222222223,0.0,,,,19.0,0.0,,,,18.0,0.0,,,,1329.9730379018702,0.0,,,
20000,4,6.0,2.0,2.0,1,1.262342381987033,0.0,,,,195.35,0.0,,,,255.61111111111111,0.0,,,,20.0,0.0,,,,18.0,0.0,,,,1340.812644930025,0.0,,,
20000,4,6.0,4.0,0.0,1,0.9500681850644144,0.0,,,,170.31578947368422,0.0,,,,248.61111111111111,0.0,,,,19.0,0.0,,,,18.0,0.0,,,,1488.2347706519524,0.0,,,
20000,4,8.0,2.0,0.0,1,1.4384587163280544,0.0,,,,180.3684210526316,0.0,,,,211.21052631578948,0.0,,,,19.0,0.0,,,,19.0,0.0,,,,1342.4269901312161,0.0,,,
20000,4,10.0,0.0,0.0,1,0.8557351403715647,0.0,,,,230.38888888888889,0.0,,,,226.55555555555554,0.0,,,,18.0,0.0,,,,18.0,0.0,,,,1403.941929154309,0.0,,,
20000,5,4.0,4.0,2.0,1,1.127371834418903,0.0,,,,122.36842105263158,0.0,,,,372.3076923076923,0.0,,,,19.0,0.0,,,,13.0,0.0,,,,1011.5684638756874,0.0,,,
20000,5,6.0,2.0,2.0,1,1.3475368498632403,0.0,,,,121.84210526315789,0.0,,,,368.0,0.0,,,,19.0,0.0,,,,13.0,0.0,,,,992.1455032550947,0.0,,,
20000,5,6.0,4.0,0.0,1,1.357177355065868,0.0,,,,122.73684210526316,0.0,,,,368.9230769230769,0.0,,,,19.0,0.0,,,,13.0,0.0,,,,989.6949337165396,0.0,,,
20000,5,8.0,2.0,0.0,1,0.9092796873434578,0.0,,,,122.63157894736842,0.0,,,,425.3333333333333,0.0,,,,19.0,0.0,,,,12.0,0.0,,,,1061.616719132612,0.0,,,
20000,5,10.0,0.0,0.0,1,1.3977726309995853,0.0,,,,136.33333333333334,0.0,,,,364.0,0.0,,,,18.0,0.0,,,,13.0,0.0,,,,981.5707790554869,0.0,,,
20000,6,4.0,4.0,2.0,1,1.6230539488749733,0.0,,,,183.4375,0.0,,,,273.7857142857143,0.0,,,,16.0,0.0,,,,14.0,0.0,,,,908.8055603681539,0.0,,,
20000,6,6.0,2.0,2.0,1,0.6856615867502805,0.0,,,,217.0625,0.0,,,,237.5,0.0,,,,16.0,0.0,,,,12.0,0.0,,,,1023.6719559242239,0.0,,,
20000,6,6.0,4.0,0.0,1,1.2656284627256116,0.0,,,,186.125,0.0,,,,274.57142857142856,0.0,,,,16.0,0.0,,,,14.0,0.0,,,,922.6596967733544,0.0,,,
20000,6,8.0,2.0,0.0,1,1.2981767388922236,0.0,,,,184.3125,0.0,,,,273.2142857142857,0.0,,,,16.0,0.0,,,,14.0,0.0,,,,925.5181835405726,0.0,,,
20000,6,10.0,0.0,0.0,1,1.3212821173767235,0.0,,,,183.8125,0.0,,,,272.7142857142857,0.0,,,,16.0,0.0,,,,14.0,0.0,,,,919.3139228885149,0.0,,,
30000,3,4.0,4.0,2.0,1,1.4934431789967846,0.0,,,,111.14285714285714,0.0,,,,161.6206896551724,0.0,,,,28.0,0.0,,,,29.0,0.0,,,,2673.289866906741,0.0,,,
30000,3,6.0,2.0,2.0,1,0.9558500117537584,0.0,,,,113.64285714285714,0.0,,,,158.44827586206895,0.0,,,,28.0,0.0,,,,29.0,0.0,,,,2679.1936504161854,0.0,,,
30000,3,6.0,4.0,0.0,1,1.2284833277857983,0.0,,,,112.46428571428571,0.0,,,,163.3793103448276,0.0,,,,28.0,0.0,,,,29.0,0.0,,,,2674.1296002950294,0.0,,,
30000,3,8.0,2.0,0.0,1,0.9684573673995946,0.0,,,,110.03571428571429,0.0,,,,153.48275862068965,0.0,,,,28.0,0.0,,,,29.0,0.0,,,,2689.8358760846195,0.0,,,
