area,auv_count,w1,w2,w3,utility_mean,utility_sd,n_realizations
10000,3,6.0,2.0,2.0,1.4559067498550449,,1
10000,4,6.0,4.0,0.0,1.3650860118825212,,1
10000,5,6.0,4.0,0.0,1.6889569098905206,,1
10000,6,10.0,0.0,0.0,1.5496678841758822,,1
20000,3,8.0,2.0,0.0,1.5613154299174732,,1
20000,4,8.0,2.0,0.0,1.4384587163280544,,1
20000,5,10.0,0.0,0.0,1.3977726309995853,,1
20000,6,4.0,4.0,2.0,1.6230539488749733,,1
30000,3,4.0,4.0,2.0,1.4934431789967846,,1
30000,4,6.0,4.0,0.0,1.6964285714285714,,1
30000,5,6.0,4.0,0.0,1.3002234744640497,,1
30000,6,6.0,2.0,2.0,1.7009682207253158,,1
40000,3,6.0,2.0,2.0,1.3347571750586986,,1
40000,4,6.0,4.0,0.0,1.3903946774787463,,1
40000,5,6.0,4.0,0.0,1.4032408873007969,,1
40000,6,6.0,2.0,2.0,1.3692029220221176,,1
50000,3,6.0,4.0,0.0,1.4599832992062662,,1
50000,4,4.0,4.0,2.0,1.1736216472930843,,1
50000,5,10.0,0.0,0.0,1.2769213667753412,,1
50000,6,4.0,4.0,2.0,1.4747037380913823,,1
60000,3,10.0,0.0,0.0,1.5045619604722562,,1
60000,4,10.0,0.0,0.0,1.2668401098555306,,1
60000,5,6.0,2.0,2.0,1.4207081374048345,,1
60000,6,6.0,4.0,0.0,1.2322604531671566,,1
