AUV Count,Model,MAE,RMSE
3,SVM,0.5853704752538063,0.939305699790627
3,Random Forest,0.5985555555555555,0.6697046090839988
3,Poly Regression,0.8342750261736164,0.9643539219803792
3,Decision Tree,0.9814814814814814,1.0857016803644062
3,ElasticNet,1.1111111111111112,1.254611402458798
3,Ridge,1.1273484257063604,1.3159594996321644
3,Lasso,1.1491987301587303,1.313202868009802
3,KNN,1.3333333333333333,1.5152197258485687
4,Random Forest,0.7166666666666667,0.7897441023153755
4,SVM,1.269708904959743,1.721937336770784
4,Decision Tree,1.3333333333333333,1.6385720243046507
4,KNN,1.377777777777778,1.5559155281326928
4,Poly Regression,1.4845953441490627,1.7036507887250156
4,Ridge,1.6037037037108464,1.7471888879440851
4,Lasso,1.6037198941798942,1.7467513683060714
4,ElasticNet,1.703703703703704,1.8465078356166489
5,Random Forest,0.5186666666666667,0.5883362585963869
5,SVM,0.5775829213042882,0.7325428133088382
5,Decision Tree,0.7962962962962963,0.9692185408365241
5,KNN,1.0666666666666667,1.1850795288594127
5,Poly Regression,1.0978060303774553,1.2083360570955959
5,ElasticNet,1.6296296296296298,1.7631643978535987
5,Lasso,1.6439134391534393,1.7953374525124168
5,Ridge,1.6439153439143235,1.7956103683458142
6,SVM,0.2753465100535572,0.28301365632261116
6,Random Forest,0.5101111111111111,0.6005358219935268
6,Decision Tree,0.9074074074074076,1.1122100847817433
6,KNN,1.0666666666666667,1.2672921580180332
6,Poly Regression,1.0816936203670637,1.2417602124416087
6,Lasso,1.3994708994708995,1.5518834192536854
6,Ridge,1.3994708994714662,1.5475741136546246
6,ElasticNet,1.4074074074074074,1.5625907103737446
