AUV Count,Model,MAE,RMSE
3,SVM,0.5853704752538063,0.939305699790627
3,Random Forest,0.6046666666666667,0.6793685776858648
3,Poly Regression,0.8342712187840357,0.9643475275197014
3,Decision Tree,1.037037037037037,1.1458551542698627
3,ElasticNet,1.1111111111111112,1.254611402458798
3,Ridge,1.1273484257063604,1.3159594996321642
3,Lasso,1.1491987301587303,1.313202868009802
3,KNN,1.3333333333333333,1.5152197258485687
4,Random Forest,0.688888888888889,0.7565272091214287
4,SVM,1.269708904959743,1.721937336770784
4,Decision Tree,1.296296296296296,1.6041859110478587
4,KNN,1.377777777777778,1.5559155281326928
4,Poly Regression,1.4846062122404529,1.7036587214208037
4,Ridge,1.6037037037108464,1.7471888879440851
4,Lasso,1.6037198941798942,1.7467513683060714
4,ElasticNet,1.703703703703704,1.8465078356166489
5,Random Forest,0.5000000000000001,0.5674979516406131
5,SVM,0.5775829213042882,0.7325428133088382
5,Decision Tree,0.8333333333333334,1.0184746579249457
5,KNN,1.0666666666666667,1.1850795288594127
5,Poly Regression,1.0978013624764327,1.2083313060286565
5,ElasticNet,1.6296296296296298,1.7631643978535987
5,Lasso,1.6439134391534393,1.7953374525124168
5,Ridge,1.6439153439143235,1.7956103683458142
6,SVM,0.2753465100535572,0.28301365632261116
6,Random Forest,0.5055555555555554,0.599957051735385
6,Decision Tree,0.851851851851852,1.070166227690225
6,KNN,1.0666666666666667,1.2672921580180332
6,Poly Regression,1.081696109669954,1.2417617411337216
6,Lasso,1.3994708994708995,1.5518834192536854
6,Ridge,1.3994708994714662,1.5475741136546246
6,ElasticNet,1.4074074074074074,1.5625907103737446
