area,auvs,w1,w2,w3
15000,3,6.8817,2.6146,0.9055
15000,4,6.9968,2.7169,0.2987
15000,5,7.4068,2.2463,0.2672
15000,6,7.4004,1.9523,0.7581
25000,3,6.9046,2.6094,0.8023
25000,4,7.0092,2.6914,0.2592
25000,5,7.3696,2.2526,0.2603
25000,6,6.907,2.1095,1.1971
35000,3,5.9442,3.1427,0.9861
35000,4,5.9736,3.2757,0.4715
35000,5,6.1685,2.9784,0.4868
35000,6,5.6687,2.9053,1.4317
45000,3,5.9793,3.0797,0.9968
45000,4,6.0007,3.216,0.5644
45000,5,6.1978,2.9224,0.5882
45000,6,5.6858,2.9123,1.5023
55000,3,6.37,2.7938,0.8113
55000,4,6.3605,2.9376,0.6059
55000,5,6.5215,2.6517,0.6263
55000,6,5.7327,2.9553,1.4496
